_	PRON VERB DET ADJ NOUN PART ADV SCONJ PUNCT ADP CCONJ AUX NUM PROPN SYM INTJ _
laura	PROPN
backyard	NOUN
1977	NUM
four	NUM NOUN ADJ
months	NOUN
maker	NOUN PROPN
applause	NOUN
sang	VERB
sing	VERB
hymn	NOUN
answer	NOUN VERB
filibuster	NOUN
senate	PROPN NOUN
particularly	ADV
judges	NOUN
sung	VERB
inaugural	ADJ
church	NOUN PROPN
service	NOUN PROPN VERB
governor	NOUN PROPN
methodists	PROPN
wesley	PROPN
boys	NOUN
boy	NOUN PROPN
wrote	VERB
upon	ADP SCONJ ADV
talks	VERB NOUN
serving	VERB NOUN
serve	VERB
something	PRON NOUN
greater	ADJ PROPN
yourself	PRON
possibly	ADV
guess	VERB NOUN
thing	NOUN PROPN
themes	NOUN
given	VERB NOUN SCONJ ADJ
heart	NOUN
principles	NOUN PROPN
principle	NOUN ADJ PROPN
change	VERB NOUN PROPN
once	SCONJ ADV NOUN
rambling	ADJ
forget	VERB
memoir	NOUN
autobiography	NOUN PROPN
ghost	NOUN PROPN
adviser	NOUN
karen	PROPN
hughes	PROPN
1999	NUM
random	ADJ PROPN
speculation	NOUN
developiong	VERB
browser	NOUN
/	SYM PUNCT X CCONJ
acquiring	VERB
acquire	VERB
firefox	PROPN
true	ADJ ADV
acquisition	NOUN PROPN
mode	NOUN
acquired	VERB
urchin	PROPN
zipdash	PROPN
applied	PROPN VERB
semantics	PROPN NOUN
picasa	PROPN
blogger	PROPN NOUN
satellite	NOUN PROPN
imaging	NOUN
keyhole	PROPN
inside	ADJ ADP ADV NOUN PROPN
links	NOUN
indicate	VERB
damn	ADV NOUN
serious	ADJ ADV
securing	VERB
secure	VERB ADJ
permanent	ADJ ADV
control	NOUN VERB PROPN
leading	VERB ADJ NOUN
lead	VERB ADJ NOUN
edge	NOUN PROPN VERB
technology	NOUN PROPN
ben	PROPN X
goodger	PROPN
engineer	NOUN VERB
mozilla	PROPN
10	NUM X
2005	NUM
source	NOUN PROPN VERB
income	NOUN PROPN
changed	VERB
foundation	PROPN NOUN
inc.	PROPN
mountain	PROPN NOUN
view	PROPN VERB NOUN
california	PROPN
role	NOUN
largely	ADV
unchanged	ADJ VERB
doing	VERB
described	VERB
describe	VERB
1.1	NUM
1.5	NUM
2.0	NUM
releases	NOUN X VERB
devoted	ADJ VERB
full	ADJ ADV
advancement	NOUN
platform	NOUN
web	NOUN PROPN
browsing	NOUN VERB
welcome	INTJ NOUN VERB ADJ
darin	PROPN
extend	VERB
fisher	PROPN
joined	VERB
join	VERB
rock	VERB NOUN PROPN
25	NUM
g	PROPN NOUN
heels	NOUN
heel	NOUN VERB
annoucement	NOUN
yesterday	NOUN ADV
post	VERB X PROPN NOUN ADJ ADV
very	ADV ADJ VERB
involved	ADJ VERB
community	NOUN PROPN
:-)	SYM
posted	VERB ADJ
made	VERB PROPN AUX
announcement	NOUN
march	PROPN NOUN VERB
28	NUM
opportunity	NOUN
brian	PROPN
ryner	PROPN
crucial	ADJ
elements	NOUN PROPN
element	NOUN
success	NOUN
software	NOUN PROPN
...	PUNCT SYM
none	NOUN PRON DET ADV
confirmed	VERB
confirm	VERB NOUN
old	ADJ NOUN PROPN
adage	NOUN
behind	ADP ADV
talent	NOUN
leads	VERB NOUN
formalizes	VERB
formalize	VERB
relationship	NOUN
flash	PROPN NOUN VERB ADJ
movie	NOUN PROPN
epic	PROPN ADJ
minutes	NOUN PROPN
minute	NOUN PROPN ADJ
future	ADJ NOUN PROPN
media	NOUN PROPN
conceived	VERB
conceive	VERB
robin	PROPN
sloan	PROPN
matt	PROPN
thompson	PROPN
music	NOUN PROPN
aaron	PROPN
mcleran	PROPN
amazon	PROPN NOUN
googlezon	PROPN
brave	ADJ VERB
2008	NUM
provoking	VERB ADJ
film	NOUN VERB PROPN
every	DET ADV ADJ X PRON
particular	ADJ NOUN
closer	ADV ADJ NOUN
small	ADJ PROPN
commment	NOUN
possible	ADJ ADV NOUN
far	ADV ADJ PROPN
aquire	VERB
rights	NOUN PROPN X
alter	VERB PROPN
changes	NOUN VERB
inclined	ADJ VERB
shape	VERB NOUN
growth	NOUN PROPN
non-microsoft	ADJ
taking	VERB NOUN
lights	NOUN PROPN VERB
light	NOUN ADJ VERB PROPN ADV
development	NOUN PROPN
're	AUX VERB
ensuring	VERB
ensure	VERB
need	VERB NOUN ADJ
voice	NOUN PROPN VERB
admidst	ADP
amidst	ADP
higher	ADJ ADV PROPN
echelons	NOUN
echelon	NOUN
team	NOUN PROPN
sort	NOUN VERB ADV
enlightened	ADJ
interest	NOUN VERB
keeps	VERB
large	ADJ ADV
alive	ADJ
fascinating	ADJ
viewpoint	NOUN
thanks	NOUN ADP
malach	PROPN
sense	NOUN PROPN VERB
inexpensive	ADJ
influencing	VERB
influence	VERB NOUN
anticipating	VERB
direction	NOUN
bang	NOUN VERB
buck	NOUN PROPN VERB
private	ADJ ADV
having	VERB AUX
handle	VERB NOUN
inevitable	ADJ ADV
culture	NOUN PROPN
mis-matches	NOUN
mis-match	NOUN
movement	NOUN PROPN
provisional	PROPN ADJ
gross	ADJ NOUN PROPN
incompetence	NOUN
governance	NOUN
cpa	PROPN NOUN
point	NOUN VERB PROPN
where	ADV VERB NOUN X SCONJ AUX PRON
turned	VERB
shiites	PROPN
initially	ADV
grateful	ADJ
removal	NOUN
saddam	PROPN
hussein	PROPN
insurgencies	NOUN
insurgency	NOUN PROPN
simultaneously	ADV
rotating	VERB
rotate	VERB
massive	ADJ
scale	NOUN VERB
hoping	VERB
downsize	VERB
spanish	ADJ PROPN
thai	ADJ NOUN PROPN
contingents	NOUN
contingent	NOUN
un	PROPN
reluctant	ADJ
pentagon	PROPN
prevented	VERB
prevent	VERB
running	VERB NOUN ADJ
body	NOUN
affairs	NOUN PROPN
affair	NOUN PROPN
administration	NOUN PROPN
civilians	NOUN
civilian	NOUN ADJ
blow	VERB NOUN PROPN ADJ
things	NOUN PROPN
wolfowitz	PROPN
feith	PROPN
staffed	VERB
staff	VERB NOUN PROPN
neoconservatives	NOUN
neoconservative	NOUN ADJ
administrative	ADJ
arabic	PROPN ADJ NOUN
knowledge	NOUN ADJ
actively	ADV
excluded	VERB
exclude	VERB
hands	NOUN
hand	NOUN VERB PROPN ADV
tom	PROPN NOUN
warrick	PROPN
recently	ADV
experienced	ADJ VERB
arabists	NOUN
arabist	NOUN
allowed	VERB
allow	VERB
begin	VERB NOUN
mopping	VERB
mop	VERB NOUN
mess	NOUN VERB
neocons	NOUN PROPN
neocon	NOUN
sorts	NOUN VERB
ulterior	ADJ
motives	NOUN
motive	NOUN
social	ADJ PROPN
experiments	NOUN
experiment	NOUN VERB
impose	VERB ADJ
polish	PROPN NOUN VERB ADJ
style	NOUN VERB PROPN
economic	ADJ PROPN
shock	NOUN PROPN VERB ADJ
therapy	NOUN
sweetheart	NOUN
maybe	ADV
breaking	VERB PROPN NOUN
parts	NOUN PROPN
part	NOUN VERB ADJ ADV
monthly	PROPN ADJ ADV
helps	VERB
explain	VERB
extreme	ADJ PROPN NOUN
double	ADJ VERB ADV NOUN
dealing	NOUN VERB
sept.	PROPN
11	PROPN NUM X
commission	PROPN NOUN VERB
philip	PROPN
zelikow	PROPN
admitted	VERB
admit	VERB
2002	NUM
asian	PROPN ADJ
times	PROPN NOUN
trenchant	ADJ
critic	NOUN PROPN
sadrists	PROPN
extraordinary	ADJ
recent	ADJ ADV
weeks	NOUN
someone	PRON NOUN
sat	VERB PROPN
sit	VERB NOUN PROPN ADJ
stir	VERB NOUN
closing	VERB NOUN
issuing	VERB NOUN
warrants	NOUN VERB
warrant	NOUN VERB
yaqubi	PROPN
dark	ADJ NOUN PROPN
scarcely	ADV
guessed	VERB
classical	ADJ
logical	ADJ
fallacy	NOUN
hoc	X
ergo	X
propter	X
z	NOUN PROPN X
x	NOUN X ADP SYM PROPN PUNCT CCONJ ADJ
therefore	ADV
caused	VERB
cause	VERB SCONJ NOUN
revising	VERB
revise	VERB
posting	NOUN VERB
evening	NOUN PROPN
fall	VERB NOUN ADJ
sometimes	ADV
pretty	ADV ADJ
suspicious	ADJ
predominance	NOUN
upper	ADJ PROPN
reaches	NOUN VERB
april	PROPN
reported	VERB
expressed	VERB
solidarity	NOUN
militant	ADJ NOUN
considered	VERB
striking	NOUN VERB ADJ
arm	NOUN VERB PROPN ADJ
repeat	VERB NOUN ADJ
expression	NOUN
hassan	PROPN
nasrallah	PROPN
stand	VERB NOUN
reference	NOUN VERB ADJ
lebanese	ADJ
let	VERB PROPN NOUN ADV
fate	NOUN VERB
prayer	NOUN
sermon	NOUN
kufa	PROPN
south	ADV PROPN NOUN ADJ
comment	VERB NOUN
meant	VERB
mean	VERB ADJ NOUN PROPN X
phrase	NOUN VERB
3	NUM X NOUN ADJ
chief	ADJ NOUN PROPN
aide	NOUN
najaf	PROPN
suddenly	ADV
organization	NOUN PROPN
put	VERB NOUN
violent	ADJ ADV
leaves	VERB NOUN
7	NUM X
unlikely	ADJ
forgive	VERB
consequences	NOUN
consequence	NOUN
anthony	PROPN
shadid	PROPN
reveals	VERB
reveal	VERB
arrests	NOUN VERB
acted	VERB
saturday	PROPN NOUN
unless	SCONJ
lisa	PROPN
promises	VERB NOUN
wasted	ADJ VERB
boob	VERB NOUN
definitely	ADV
drink	NOUN VERB
bryan	PROPN
happy	ADJ
hour	NOUN PROPN
thinking	VERB NOUN
kenneally	PROPN
5	NUM PROPN X ADJ
means	VERB NOUN
india	PROPN
embarrassed	ADJ VERB
tonight	NOUN ADV
interested	ADJ VERB
jill	PROPN
allen	PROPN
finishes	VERB NOUN
finish	VERB NOUN ADJ
friends	NOUN PROPN
friend	NOUN
max	PROPN NOUN ADJ
jen	PROPN
looking	VERB ADJ PROPN
303-832-8160	NUM
while	NOUN SCONJ ADP ADV
speech	NOUN
line	NOUN PROPN VERB ADV ADJ
fantastic	ADJ
peder	PROPN
remarking	VERB
remark	VERB NOUN
agreeable	ADJ
sucked	VERB
balls	NOUN
ball	NOUN PROPN
night	NOUN ADV PROPN
fucking	ADJ VERB ADV
bitches	NOUN
bitch	NOUN
butt	NOUN
fuck	VERB
mississippi	PROPN
foward	ADV
val	PROPN
weekend	NOUN
ready	ADJ
bark	NOUN VERB
bite	NOUN VERB
asses	NOUN VERB
ass	NOUN
kicked	VERB
kick	VERB NOUN
cats	NOUN
cat	NOUN PROPN
doberman	NOUN
pinchers	NOUN
pincher	NOUN
shrunk	VERB
shrink	VERB NOUN ADJ
cocker	NOUN
spaniel	NOUN
kidding	VERB NOUN
kid	VERB NOUN
b/c	ADP SCONJ
taco	PROPN NOUN
bell	PROPN NOUN
dog	NOUN PROPN
knew	VERB
college	NOUN PROPN
loved	VERB
love	VERB NOUN PROPN
chihuahua	NOUN PROPN
dogs	NOUN ADV
friendly	ADJ ADV PROPN
cool	ADJ VERB ADV
les	PROPN X DET
spahnn	PROPN
<	PUNCT SYM
spahnn@hnks.com	X
>	PUNCT SYM
02/13/2001	NUM
08:02	NUM
understanding	NOUN ADJ VERB
gov	PROPN
s	PART PRON AUX PROPN VERB NOUN
order	VERB NOUN PROPN
loretta	PROPN
lynch	PROPN
expeditiously	ADV
implement	VERB NOUN ADJ
provision	NOUN
suspend	VERB
parties	NOUN PROPN
auhtority	NOUN
enter	VERB
direct	ADJ VERB
access	NOUN VERB X PROPN
contracts	NOUN VERB
contract	NOUN VERB PROPN X
premise	NOUN
administartion	NOUN
acting	VERB NOUN
everyone	PRON NOUN PROPN
bilateral	ADJ
quickly	ADV
sets	VERB NOUN
barrier	NOUN
must	AUX NOUN
meal	NOUN PROPN ADJ
dishes	NOUN
dish	NOUN
located	VERB ADJ
locate	VERB
i.e.	X ADV
davis	PROPN
place	VERB PROPN NOUN
advocates	NOUN
advocate	NOUN VERB
each	DET PRON
exception	NOUN
suspension	NOUN
rather	ADV ADP PROPN SCONJ CCONJ VERB
rule	NOUN VERB X ADJ
concerning	VERB ADJ
clearly	ADV
admin	NOUN ADJ
without	SCONJ ADP ADV
power	NOUN PROPN X VERB
lies	VERB NOUN
lie	VERB NOUN
until	ADP SCONJ
sunday	PROPN NOUN
regards	NOUN VERB
kevin	PROPN X
boone	PROPN
accenture	PROPN
houston	PROPN
consultant	NOUN
octel	PROPN
713.837.1638	NUM
client	NOUN
281.848.1619	NUM
c	NOUN X PROPN
713.306.7940	NUM
h	NOUN PROPN X VERB
713.864.4149	NUM
kevin.a.boone@accenture.com	X
address	NOUN VERB
http://www.accenture.com	X
lenhart	PROPN
matthew	PROPN
guys	NOUN PROPN
watch	VERB PROPN NOUN ADJ
game	NOUN VERB PROPN ADJ
woodrow	PROPN
tomorrow	NOUN ADV
girls	NOUN PROPN
girl	NOUN
garden	NOUN PROPN VERB
heights	NOUN PROPN
height	NOUN PROPN
plus	CCONJ NOUN PROPN ADV ADP
watching	VERB NOUN
designated	VERB
designate	VERB
recipient	NOUN
contain	VERB
privileged	ADJ
confidential	ADJ
received	VERB
receive	VERB ADJ
error	NOUN
please	INTJ VERB ADJ ADV
notify	VERB
sender	NOUN
immediately	ADV
delete	VERB ADJ
original	NOUN ADJ PROPN
email	NOUN VERB
prohibited	VERB
prohibit	VERB
phone	NOUN PROPN VERB
eat	VERB NOUN
perverted	ADJ
whatever	INTJ PRON DET
satisfy	VERB
appetitie	NOUN
lovin	NOUN
robert	X PROPN
bryngelson@azurix	X
08/16/2000	NUM
12:05	NUM
wanted	VERB
quick	ADJ ADV PROPN
note	NOUN VERB PROPN
ta	ADP PART
azurix	PROPN
start	VERB NOUN
svp	NOUN
lng	NOUN PROPN
el	PROPN X
paso	PROPN
happened	VERB
contact	NOUN VERB
robbrnglsn@aol.com	X
713-664-7478	NUM
enjoyed	VERB
enjoy	VERB
working	VERB NOUN PROPN ADJ
five	NUM PROPN ADJ
enron	PROPN X
care	NOUN VERB PROPN
rob	PROPN VERB
bryngelson	PROPN
ps	NOUN
scudeiros	PROPN
dallas	PROPN
met	PROPN VERB
garage	NOUN PROPN
beginning	VERB NOUN
5:00	NUM
traci	X PROPN
warner@enron	X
03:14:14	NUM
steve	PROPN
rod	PROPN NOUN
elyse	PROPN
aug	PROPN
29th	NOUN
1:30	NUM
2:30	NUM
discuss	VERB
u	PROPN VERB PRON X NOUN NUM
endowment	NOUN PROPN
proposal	NOUN X
eb	PROPN
4054	NUM
forward	ADV VERB ADJ
seeing	VERB ADJ
sincerely	ADV
warner	PROPN
broadband	PROPN NOUN
services	PROPN NOUN
713	NUM
853-3242	NUM
705-7201	NUM
kay	PROPN X
mann	PROPN
04/26/2001	NUM
07:17	NUM
providing	VERB
provide	VERB SCONJ
version	NOUN
removed	VERB
remove	VERB NOUN
blanks	NOUN
blank	NOUN ADJ
directly	ADV
kent.shoemaker@ae.ge.com	X
copy	VERB NOUN
paulhastings.com	X
annotations	NOUN
annotation	NOUN
04/25/01	NUM
12:42:55	NUM
e-mail	NOUN VERB X PROPN
domain	NOUN PROPN
cases	NOUN
composed	VERB ADJ
compose	VERB
conventional	ADJ
@paulhastings.com	NOUN
examples	NOUN
janesmith@paulhastings.com	X
danjones@paulhastings.com	X
noc@paulhastings.com	X
==============================================================================	SYM
transmitted	VERB
transmit	VERB
intended	VERB ADJ
entity	NOUN
addressed	VERB
material	NOUN ADJ
review	NOUN VERB PROPN
retransmission	NOUN
dissemination	NOUN
action	NOUN PROPN
reliance	NOUN
entities	NOUN
computers	NOUN PROPN
computer	NOUN ADJ PROPN
attached	VERB ADJ
attach	VERB
ge	PROPN
guarantee	NOUN VERB
format	NOUN VERB
.?	PUNCT
pdf	NOUN
vs	ADP CCONJ
versus	ADP CCONJ
turbine	NOUN
hesitate	VERB ADJ
______________________	SYM
staikos	PROPN
:?	PUNCT
203.961.7523	NUM
fax	NOUN VERB
203.674.7723	NUM
johnstaikos@paulhastings.com	X
47k202!.doc	NOUN
sean	PROPN
boyle	PROPN
08/17/2000	NUM
11:21	NUM
spoke	VERB
speak	VERB NOUN PROPN ADJ
bruce	PROPN
garcey	PROPN
nimo	PROPN
regarding	VERB SCONJ
regard	VERB NOUN SCONJ
rfp	NOUN
indicated	VERB
short	ADJ ADV PROPN NOUN
listed	VERB
bid	VERB NOUN PROPN
ena	PROPN NOUN
however	ADV SCONJ
mentioned	VERB X
mention	VERB NOUN
sixth	NOUN ADJ ADV PROPN
highest	ADJ ADV
indication	NOUN
value	NOUN VERB
proposed	VERB X ADJ
propose	VERB ADJ
alternative	ADJ PROPN NOUN
tier	NOUN
additional	ADJ
peaking	VERB
peak	VERB PROPN NOUN ADJ
supplies	NOUN VERB
winter	NOUN PROPN VERB
phil	PROPN
copies	NOUN
distribute	VERB
asap	ADV
scott	PROPN
neal	PROPN
03:48	NUM
griffith@enron	X
08/15/2000	NUM
06:23	NUM
soblander@carrfut.com	X
06:03:48	NUM
contained	VERB
herein	ADV
reliable	ADJ
represent	VERB
accurate	ADJ ADV
complete	ADJ VERB
offer	NOUN VERB
sell	VERB
solicitation	NOUN
buy	VERB PROPN NOUN
financial	ADJ PROPN NOUN
instruments	NOUN PROPN
instrument	NOUN
discussed	VERB
opinions	NOUN
solely	ADV
author	NOUN VERB ADJ
differ	VERB
respects	NOUN VERB
published	VERB ADJ
publish	VERB ADJ
behalf	NOUN
carr	PROPN
futures	PROPN NOUN
officers	NOUN
officer	NOUN PROPN
directors	NOUN
director	NOUN PROPN
affiliates	NOUN
affiliate	NOUN VERB
2000	NUM
charts	NOUN
chart	NOUN VERB
adobe	PROPN
acrobat	PROPN
4.0	NUM
reader	PROPN NOUN
3.0	NUM
downloaded	VERB
download	VERB NOUN
free	ADJ PROPN VERB
www.adobe.com	X
file	NOUN VERB
unleadedstocks.pdf	NOUN
crudestocks.pdf	NOUN
heatingoilstocks.pdf	NOUN
paddiistockscl.pdf	NOUN
paddistocksho.pdf	NOUN
paddistockshu.pdf	NOUN
api.pdf	NOUN
marlene	PROPN
hilliard	PROPN
10/08/99	NUM
08:52	NUM
23	NUM
request	NOUN VERB
placed	VERB
referenced	VERB ADJ
counterparty	NOUN PROPN
intrastate	ADJ
gas	NOUN PROPN X VERB
transportation	NOUN PROPN
agreement	NOUN PROPN X
311	NUM
agreements	NOUN
forwarded	VERB
ccng	PROPN
october	PROPN
6	NUM X DET
kelly	PROPN
cloud	PROPN NOUN VERB
senior	ADJ PROPN NOUN
vice	NOUN ADV PROPN ADJ
235-1972	NUM
informed	VERB ADJ
inform	VERB
ccgm	PROPN
l.p.	PROPN
further	ADV ADJ VERB
section	NOUN
reads	VERB
liens	NOUN
lien	NOUN
adverse	ADJ
claims	NOUN VERB
kind	NOUN ADV ADJ PROPN
transporting	VERB
transport	VERB NOUN PROPN
hpl	NOUN PROPN
subject	ADJ NOUN VERB
instructed	VERB
instruct	VERB
destroy	VERB ADJ
necessary	ADJ NOUN
corrections	NOUN
correction	NOUN
re-wording	NOUN
d.	PROPN VERB
ginny	PROPN
guaranty	NOUN
clean	ADJ VERB PROPN NOUN
redlined	VERB X ADJ
redline	VERB X
revised	VERB
language	NOUN PROPN
discussions	NOUN
discussion	NOUN
previously	ADV
approved	VERB NOUN ADJ
approve	VERB
ok	ADJ INTJ ADV PROPN
execute	VERB
acceptable	ADJ
ahead	ADV ADP NOUN
townsend	PROPN
george	PROPN
gtownsend@manorisd.net	X
03/27/2001	NUM
09:11	NUM
puto	PROPN
dude	NOUN
antigua	PROPN
awesome	ADJ
survived	VERB
heather	PROPN NOUN
moving	VERB NOUN ADJ
different	ADJ NOUN
realize	VERB
stuff	NOUN PROPN VERB ADJ
pack	VERB NOUN ADJ
bedroom	NOUN
apartment	NOUN
gal	NOUN
hot	ADJ PROPN
chasing	VERB PROPN
chase	VERB PROPN NOUN
together	ADV ADJ ADP
extra	ADJ NOUN ADV
nicer	ADJ
bed	NOUN
tossed	VERB
toss	VERB NOUN
dumpster	NOUN
smelled	VERB
smell	VERB NOUN
shit	NOUN INTJ VERB
gt	PROPN
honeymoon	NOUN
brant	PROPN
joan	PROPN
woodson	PROPN
08/10/2000	NUM
08:28	NUM
investment	PROPN NOUN
partners	PROPN NOUN
congratulations	NOUN
congratulation	NOUN
won	VERB
win	VERB X NOUN
....	PUNCT
august	PROPN ADJ
17th	NOUN PROPN ADJ
!.	PUNCT
volunteered	VERB
volunteer	VERB NOUN
alternates	NOUN
alternate	NOUN ADJ VERB
1	NUM X ADJ
coach	NOUN
gilette	PROPN
kristen	PROPN
quinn	PROPN
sarah	PROPN
mulholland	PROPN
samuel	PROPN
pak	PROPN
daniel	PROPN X
kang	PROPN
doug	PROPN
sewell	PROPN
jeffrey	PROPN
synder	PROPN
ryan	PROPN
hinze	PROPN
sheetal	PROPN
patel	PROPN
johnathan	PROPN
markey	PROPN
mary	PROPN NOUN
russell	PROPN X
dyk	PROPN
webb	PROPN
jennings	PROPN
martin	PROPN
gonzales	PROPN
mixed	VERB ADJ
mix	VERB NOUN ADJ
melanie	PROPN
king	PROPN NOUN
brandon	PROPN
luna	PROPN NOUN
hull	PROPN NOUN
eduardo	PROPN
tellechea	PROPN
milson	PROPN
mundim	PROPN
johnson	PROPN
usman	PROPN
shaukat	PROPN
gerard	PROPN
benitez	PROPN
almy	PROPN
travis	PROPN
hanson	PROPN
millions	NOUN
million	NOUN NUM
pledge	VERB NOUN PROPN
easy	ADJ PROPN ADV
contribution	NOUN
simply	ADV
type	VERB NOUN
http://unitedway.enron.com	X
explorer	PROPN NOUN
netscape	PROPN
unitedway.enron.com	X
field	NOUN PROPN VERB
option	NOUN
site	NOUN PROPN
electronically	ADV
takes	VERB
physical	ADJ NOUN
cards	NOUN
card	NOUN PROPN
pledging	NOUN VERB
3-5213	NUM
bert	PROPN
frazier	PROPN
3-5076	NUM
kathy	PROPN
mayfield	PROPN
3-3264	NUM
o'neal	PROPN
gotten	VERB
shanna	PROPN
stay	VERB NOUN
town	NOUN PROPN ADV
weather	NOUN VERB
hector	PROPN
blowing	VERB NOUN ADJ
smoke	NOUN VERB
christa	PROPN
winfrey	PROPN
08/08/2000	NUM
11:36	NUM
supposed	VERB ADJ
storming	VERB
storm	VERB NOUN PROPN
100	NUM
father	NOUN PROPN VERB
listens	VERB
listen	VERB
news	NOUN PROPN
aunt	PROPN NOUN
toni	PROPN
lu	INTJ
m	PROPN AUX NOUN NUM VERB
glad	ADJ
profiled	VERB
profile	VERB NOUN
pull	VERB NOUN
heads	NOUN VERB
important	ADJ ADV
finding	VERB NOUN PROPN
meaning	NOUN VERB
$$$	NOUN
hard	ADV ADJ
back	ADV NOUN ADP VERB ADJ PROPN
calgary	PROPN
knocks	VERB NOUN
knock	VERB NOUN
level	VERB NOUN ADJ
soul	NOUN
searching	VERB NOUN ADJ
reading	VERB NOUN ADJ
certainly	ADV
fit	VERB NOUN ADJ
certain	ADJ DET
theories	NOUN
theory	NOUN PROPN
interesting	ADJ NOUN VERB
enjoying	VERB
london	PROPN
brokering	VERB
broker	VERB NOUN
rewarding	ADJ
traders	NOUN PROPN
trader	NOUN PROPN
humans	NOUN VERB
human	NOUN ADJ PROPN VERB
catriona	PROPN
landed	VERB
land	VERB NOUN PROPN ADJ
herself	PRON
pr	NOUN PROPN
touch	NOUN ADJ VERB
mike	PROPN X
michael	PROPN X
j.	PROPN
mcdermott	PROPN
mjmcdermott@hotmail.com	X
_________________________________________________________________	SYM
msn	PROPN
http://explorer.msn.com/intl.asp	X
fulfillment	NOUN
purpose	NOUN
early	ADV ADJ
cheers	NOUN
cheer	NOUN VERB
chris	PROPN
p.s.	NOUN
continues	VERB
feel	VERB NOUN ADJ
amstel	PROPN
jolene	PROPN
harvey	PROPN
05/22/2001	NUM
09:25	NUM
lifestyle	NOUN
text.htm	NOUN
********************************	PUNCT
notice	NOUN VERB PROPN
*************************************	PUNCT
transmittal	NOUN
attachments	NOUN
attachment	NOUN
attorney	NOUN PROPN
hereby	ADV
notified	VERB
distribution	NOUN
copying	NOUN VERB PROPN
strictly	ADV
reply	NOUN VERB
telephone	NOUN
collect	ADV VERB ADJ
+1	NUM
212-848-8400	NUM
<<	PUNCT
>>	PUNCT
converting	VERB
convert	VERB
hover	NOUN VERB PROPN
vehicle	NOUN PROPN
might	AUX NOUN
skidoo	NOUN
skis	NOUN
ski	NOUN VERB
front	NOUN ADV ADJ PROPN
tracks	NOUN
track	NOUN VERB
..	PUNCT
lexus	PROPN
300	NUM
17	NUM
wheels	NOUN
jackass	NOUN
affectionate	ADJ
satisfying	ADJ
harmonious	ADJ
relationships	NOUN
ultimate	ADJ
realisation	NOUN
intimate	ADJ
sacrifice	NOUN VERB
mutual	ADJ
trust	NOUN VERB
often	ADV
corner	NOUN
decided	VERB NOUN ADJ
decide	VERB
sights	NOUN
sight	NOUN VERB ADJ
prestige	NOUN PROPN
afford	VERB
considerable	ADJ ADV
esteem	NOUN
wear	VERB NOUN
sleeve	NOUN ADJ
emotional	ADJ
apt	ADJ
affection	NOUN
extremely	ADV
hurt	VERB NOUN
punishment	NOUN
strive	VERB
holding	VERB NOUN
hold	VERB NOUN
subterfuge	NOUN
thinker	NOUN
partner	NOUN VERB
develop	VERB
convictions	NOUN
conviction	NOUN
timing	NOUN
sincerity	NOUN
straight	ADJ ADV
differences	NOUN
difference	NOUN
arguments	NOUN
argument	NOUN
alone	ADJ ADV PROPN
sorry	ADJ INTJ
sending	VERB
forgot	VERB
outlook	PROPN NOUN
raw	ADJ PROPN
data	NOUN
fisrt	ADJ
tab	NOUN
vladi	PROPN
hey	INTJ
historical	ADJ PROPN ADV
nymex	NOUN PROPN
settle	NOUN VERB
lavo	PROPN
spread	NOUN VERB
analysis	NOUN PROPN
unable	ADJ
attend	VERB
a.m.	NOUN ADV
cdt	PROPN
hyatt	PROPN
regency	PROPN
imperial	ADJ PROPN
ballroom	NOUN
toronto	PROPN
omaha	PROPN
york	PROPN
portland	PROPN
live	ADJ VERB ADV NOUN PROPN
http://home.enron.com/employeemeeting	X
constance	PROPN
vacation	NOUN VERB
4th	NOUN ADJ
19th	NOUN ADJ
timesheet	NOUN
tried	VERB
hronline	PROPN
somebody	PRON NOUN
else	ADJ ADV PRON
hr	NOUN PROPN
mark	VERB PROPN NOUN X ADJ
pimenov	PROPN
ext.	NOUN
37625	NUM
mcgilloway	PROPN
vangie	PROPN
vangie.mcgilloway@powersrc.com	X
03/23/2001	NUM
10:13	NUM
morning	NOUN PROPN
debra	PROPN
gisb	NOUN X
special	ADJ NOUN ADV PROPN
provisions	NOUN
consideration	NOUN PROPN
completing	VERB
master	NOUN X PROPN VERB
submitting	VERB
comments	NOUN
monday	PROPN NOUN
addition	NOUN PROPN
feedback	NOUN
desk	NOUN
segment	NOUN VERB
cut	VERB NOUN ADJ
off	ADP ADV NOUN ADJ
cps	NOUN PROPN
---	PUNCT
greatly	ADV
prompt	ADJ VERB
inquiry	NOUN
constellation	PROPN NOUN
111	NUM
market	PROPN NOUN
ste	NOUN
500	NUM PROPN
baltimore	PROPN
md	PROPN NOUN
21202	NUM
410-468-3798	NUM
410-468-3499	NUM
system	NOUN PROPN
problems	NOUN PROPN
myself	PRON
credit	NOUN VERB
calling	VERB NOUN PROPN
calls	NOUN VERB
rolled	VERB
roll	VERB NOUN PROPN
mail	NOUN VERB PROPN
conversation	NOUN
sample	NOUN ADJ VERB
questionsand	NOUN
issues	NOUN VERB
matter	NOUN VERB ADV PROPN
draft	X NOUN VERB PROPN
.doc	X NOUN
sam3102.doc	NOUN
perlingiere	PROPN
enron-cps	X
rev1	X
re	ADP AUX
trading	NOUN VERB PROPN ADJ
reviewing	VERB
jackie	PROPN
taylor	PROPN
concessionaire	PROPN NOUN
directory	NOUN
clarify	VERB
10mm	NOUN
thx	NOUN
dp	PROPN
4.6	NUM
sale	NOUN VERB
